tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
3.049464e-07,-8.7405395e-12,8.331787e-06,6.5676977e-06,3.049782e-07,3.048517e-07,3.049782e-07,3.048517e-07,0.001975,0.001975
3.0491503e-07,9.5210185e-12,8.331667e-06,6.5676036e-06,3.0488042e-07,3.0488727e-07,3.0488042e-07,3.0488727e-07,0.002025,0.002025
3.0478193e-07,-3.2367926e-13,8.331541e-06,6.5675035e-06,3.047831e-07,3.047806e-07,3.047831e-07,3.047806e-07,0.002075,0.002075
3.045251e-07,-4.4084732e-11,8.33142e-06,6.567408e-06,3.0468533e-07,3.045495e-07,3.0468533e-07,3.045495e-07,0.002125,0.002125
3.0456746e-07,-5.5316e-12,8.331303e-06,6.567316e-06,3.0458756e-07,3.0442504e-07,3.0458756e-07,3.0442504e-07,0.002175,0.002175
3.0455357e-07,1.7418705e-11,8.331182e-06,6.5672207e-06,3.0449024e-07,3.044606e-07,3.0449024e-07,3.044606e-07,0.002225,0.002225
3.0434848e-07,-1.2108231e-11,8.3310615e-06,6.5671256e-06,3.0439247e-07,3.042295e-07,3.0439247e-07,3.042295e-07,0.002275,0.002275
3.042155e-07,-2.1793938e-11,8.330936e-06,6.5670265e-06,3.042947e-07,3.0460282e-07,3.042947e-07,3.0460282e-07,0.002325,0.002325
3.042339e-07,1.0171931e-11,8.330786e-06,6.5669087e-06,3.0419693e-07,3.046384e-07,3.0419693e-07,3.046384e-07,0.002375,0.002375
3.041171e-07,4.804111e-12,8.330645e-06,6.5667978e-06,3.0409961e-07,3.0437172e-07,3.0409961e-07,3.0437172e-07,0.002425,0.002425
3.0384805e-07,-4.230356e-11,8.330501e-06,6.566684e-06,3.0400184e-07,3.0442504e-07,3.0400184e-07,3.0442504e-07,0.002475,0.002475
3.0395069e-07,1.2823684e-11,8.3303585e-06,6.5665718e-06,3.0390407e-07,3.0412284e-07,3.0390407e-07,3.0412284e-07,0.002525,0.002525
3.039119e-07,2.9045481e-11,8.330227e-06,6.5664676e-06,3.038063e-07,3.039095e-07,3.038063e-07,3.039095e-07,0.002575,0.002575
3.0370788e-07,-1.8121873e-13,8.33009e-06,6.56636e-06,3.0370853e-07,3.0392727e-07,3.0370853e-07,3.0392727e-07,0.002625,0.002625
3.0372792e-07,3.2226156e-11,8.329956e-06,6.5662543e-06,3.0361076e-07,3.038384e-07,3.0361076e-07,3.038384e-07,0.002675,0.002675
3.035254e-07,3.290786e-12,8.329812e-06,6.5661407e-06,3.0351345e-07,3.0394506e-07,3.0351345e-07,3.0394506e-07,0.002725,0.002725
3.0332862e-07,-2.3949141e-11,8.329667e-06,6.566027e-06,3.0341567e-07,3.0364282e-07,3.0341567e-07,3.0364282e-07,0.002775,0.002775
3.0343745e-07,3.2882273e-11,8.329529e-06,6.5659183e-06,3.033179e-07,3.035717e-07,3.033179e-07,3.035717e-07,0.002825,0.002825
3.0316184e-07,-1.6035546e-11,8.3293935e-06,6.565811e-06,3.0322013e-07,3.0337614e-07,3.0322013e-07,3.0337614e-07,0.002875,0.002875
3.030801e-07,-1.1628406e-11,8.329257e-06,6.5657036e-06,3.0312236e-07,3.0328727e-07,3.0312236e-07,3.0328727e-07,0.002925,0.002925
3.0286074e-07,-4.507592e-11,8.329124e-06,6.565599e-06,3.030246e-07,3.031095e-07,3.030246e-07,3.031095e-07,0.002975,0.002975
3.03002e-07,2.067392e-11,8.3289915e-06,6.565494e-06,3.0292682e-07,3.0300282e-07,3.0292682e-07,3.0300282e-07,0.003025,0.003025
3.0271033e-07,-3.2658952e-11,8.32886e-06,6.5653903e-06,3.0282905e-07,3.0302058e-07,3.0282905e-07,3.0302058e-07,0.003075,0.003075
3.0272736e-07,-1.0815988e-12,8.3287205e-06,6.5652803e-06,3.0273128e-07,3.0303838e-07,3.0273128e-07,3.0303838e-07,0.003125,0.003125
3.024766e-07,-4.3164933e-11,8.3285795e-06,6.5651693e-06,3.026335e-07,3.0282504e-07,3.026335e-07,3.0282504e-07,0.003175,0.003175
3.0257166e-07,9.87838e-12,8.328444e-06,6.565063e-06,3.0253574e-07,3.0262947e-07,3.0253574e-07,3.0262947e-07,0.003225,0.003225
3.0242762e-07,-2.8448721e-12,8.328313e-06,6.564959e-06,3.0243797e-07,3.0259392e-07,3.0243797e-07,3.0259392e-07,0.003275,0.003275
3.0232007e-07,-5.537144e-12,8.32817e-06,6.5648464e-06,3.023402e-07,3.0266503e-07,3.023402e-07,3.0266503e-07,0.003325,0.003325
3.0216043e-07,-2.256065e-11,8.328028e-06,6.564735e-06,3.0224243e-07,3.0259392e-07,3.0224243e-07,3.0259392e-07,0.003375,0.003375
3.020847e-07,-1.6369787e-11,8.327882e-06,6.5646195e-06,3.021442e-07,3.024517e-07,3.021442e-07,3.024517e-07,0.003425,0.003425
3.0202483e-07,-5.9405237e-12,8.32774e-06,6.5645077e-06,3.0204643e-07,3.022917e-07,3.0204643e-07,3.022917e-07,0.003475,0.003475
3.0193246e-07,-4.456154e-12,8.327601e-06,6.564398e-06,3.0194866e-07,3.0211393e-07,3.0194866e-07,3.0211393e-07,0.003525,0.003525
3.0175693e-07,-2.585056e-11,8.327465e-06,6.564291e-06,3.018509e-07,3.0193615e-07,3.018509e-07,3.0193615e-07,0.003575,0.003575
3.0174468e-07,-2.3262536e-12,8.327329e-06,6.5641834e-06,3.0175312e-07,3.021317e-07,3.0175312e-07,3.021317e-07,0.003625,0.003625
3.0157423e-07,-2.2316681e-11,8.3271825e-06,6.5640684e-06,3.0165535e-07,3.0191836e-07,3.0165535e-07,3.0191836e-07,0.003675,0.003675
3.0151455e-07,-1.171077e-11,8.327043e-06,6.5639583e-06,3.0155712e-07,3.017228e-07,3.0155712e-07,3.017228e-07,0.003725,0.003725
3.0136846e-07,-2.5008001e-11,8.326908e-06,6.5638515e-06,3.0145935e-07,3.0163392e-07,3.0145935e-07,3.0163392e-07,0.003775,0.003775
3.0148374e-07,3.3598294e-11,8.326763e-06,6.5637378e-06,3.0136158e-07,3.0179393e-07,3.0136158e-07,3.0179393e-07,0.003825,0.003825
3.0127745e-07,3.8771477e-12,8.326614e-06,6.56362e-06,3.0126336e-07,3.0154501e-07,3.0126336e-07,3.0154501e-07,0.003875,0.003875
3.0115902e-07,-1.8085195e-12,8.326474e-06,6.56351e-06,3.0116558e-07,3.0142058e-07,3.0116558e-07,3.0142058e-07,0.003925,0.003925
3.0115493e-07,2.3958623e-11,8.326329e-06,6.563396e-06,3.0106781e-07,3.0143835e-07,3.0106781e-07,3.0143835e-07,0.003975,0.003975
3.0083504e-07,-3.713592e-11,8.3261775e-06,6.5632757e-06,3.0097004e-07,3.0143835e-07,3.0097004e-07,3.0143835e-07,0.004025,0.004025
3.0093096e-07,1.6269482e-11,8.326023e-06,6.5631543e-06,3.0087182e-07,3.0142058e-07,3.0087182e-07,3.0142058e-07,0.004075,0.004075
3.0076407e-07,-2.7496356e-12,8.325877e-06,6.5630393e-06,3.0077405e-07,3.0088722e-07,3.0077405e-07,3.0088722e-07,0.004125,0.004125
3.0053147e-07,-3.9711467e-11,8.325739e-06,6.5629306e-06,3.0067582e-07,3.0099392e-07,3.0067582e-07,3.0099392e-07,0.004175,0.004175
3.004504e-07,-3.5110068e-11,8.325593e-06,6.562815e-06,3.0057805e-07,3.0081614e-07,3.0057805e-07,3.0081614e-07,0.004225,0.004225
3.0049623e-07,4.387881e-12,8.325453e-06,6.5627046e-06,3.0048028e-07,3.0072724e-07,3.0048028e-07,3.0072724e-07,0.004275,0.004275
3.0044768e-07,1.8049015e-11,8.325307e-06,6.56259e-06,3.0038206e-07,3.0072724e-07,3.0038206e-07,3.0072724e-07,0.004325,0.004325
3.0028008e-07,-1.155542e-12,8.325167e-06,6.562479e-06,3.0028428e-07,3.0030057e-07,3.0028428e-07,3.0030057e-07,0.004375,0.004375
3.0015119e-07,-9.59615e-12,8.325036e-06,6.5623767e-06,3.0018606e-07,3.0026501e-07,3.0018606e-07,3.0026501e-07,0.004425,0.004425
3.000478e-07,-1.11405095e-11,8.324896e-06,6.5622658e-06,3.000883e-07,3.0033613e-07,3.000883e-07,3.0033613e-07,0.004475,0.004475
2.9983306e-07,-4.3192797e-11,8.324757e-06,6.5621566e-06,2.9999006e-07,3.001761e-07,2.9999006e-07,3.001761e-07,0.004525,0.004525
2.9985148e-07,-1.1226927e-11,8.32461e-06,6.5620397e-06,2.998923e-07,3.0046058e-07,2.998923e-07,3.0046058e-07,0.004575,0.004575
2.9978915e-07,-1.3539177e-12,8.324454e-06,6.561918e-06,2.9979407e-07,3.0014056e-07,2.9979407e-07,3.0014056e-07,0.004625,0.004625
2.9966282e-07,-9.211776e-12,8.324308e-06,6.561802e-06,2.996963e-07,2.9998057e-07,2.996963e-07,2.9998057e-07,0.004675,0.004675
2.9943527e-07,-4.4787285e-11,8.3241575e-06,6.561684e-06,2.9959807e-07,3.0014056e-07,2.9959807e-07,3.0014056e-07,0.004725,0.004725
2.9945676e-07,-1.1982557e-11,8.323999e-06,6.561559e-06,2.995003e-07,2.9999833e-07,2.995003e-07,2.9999833e-07,0.004775,0.004775
2.9937803e-07,-6.6128986e-12,8.323849e-06,6.5614404e-06,2.9940207e-07,2.9969613e-07,2.9940207e-07,2.9969613e-07,0.004825,0.004825
2.993628e-07,1.6213884e-11,8.323701e-06,6.5613235e-06,2.9930385e-07,2.997139e-07,2.9930385e-07,2.997139e-07,0.004875,0.004875
2.9923473e-07,7.879187e-12,8.323553e-06,6.5612066e-06,2.9920608e-07,2.9942944e-07,2.9920608e-07,2.9942944e-07,0.004925,0.004925
2.991156e-07,2.131759e-12,8.32341e-06,6.5610943e-06,2.9910785e-07,2.9941168e-07,2.9910785e-07,2.9941168e-07,0.004975,0.004975
2.9912425e-07,3.1528107e-11,8.323265e-06,6.56098e-06,2.9900963e-07,2.99145e-07,2.9900963e-07,2.99145e-07,0.005025,0.005025
2.989306e-07,5.153532e-12,8.3231325e-06,6.5608756e-06,2.9891186e-07,2.9893167e-07,2.9891186e-07,2.9893167e-07,0.005075,0.005075
2.9864725e-07,-4.5768694e-11,8.323001e-06,6.560772e-06,2.9881363e-07,2.98825e-07,2.9881363e-07,2.98825e-07,0.005125,0.005125
2.987603e-07,1.2351971e-11,8.322862e-06,6.5606628e-06,2.987154e-07,2.9902054e-07,2.987154e-07,2.9902054e-07,0.005175,0.005175
2.986555e-07,1.04102785e-11,8.322705e-06,6.5605386e-06,2.9861764e-07,2.9928722e-07,2.9861764e-07,2.9928722e-07,0.005225,0.005225
2.983552e-07,-4.5174243e-11,8.322547e-06,6.5604136e-06,2.985194e-07,2.9886056e-07,2.985194e-07,2.9886056e-07,0.005275,0.005275
2.9851853e-07,2.6774366e-11,8.322399e-06,6.5602967e-06,2.9842118e-07,2.9886056e-07,2.9842118e-07,2.9886056e-07,0.005325,0.005325
2.9831716e-07,-1.5957739e-12,8.32224e-06,6.560172e-06,2.9832296e-07,2.988072e-07,2.9832296e-07,2.988072e-07,0.005375,0.005375
2.9822158e-07,-9.944145e-13,8.322095e-06,6.5600575e-06,2.982252e-07,2.9832722e-07,2.982252e-07,2.9832722e-07,0.005425,0.005425
2.981915e-07,1.7752844e-11,8.321957e-06,6.5599484e-06,2.9812696e-07,2.9836278e-07,2.9812696e-07,2.9836278e-07,0.005475,0.005475
2.9811167e-07,2.2813449e-11,8.321804e-06,6.5598283e-06,2.9802874e-07,2.984872e-07,2.9802874e-07,2.984872e-07,0.005525,0.005525
2.9797255e-07,1.1564887e-11,8.321648e-06,6.5597055e-06,2.979305e-07,2.9845165e-07,2.979305e-07,2.9845165e-07,0.005575,0.005575
2.9775194e-07,-2.2103333e-11,8.32149e-06,6.559581e-06,2.978323e-07,2.9830943e-07,2.978323e-07,2.9830943e-07,0.005625,0.005625
2.976525e-07,-2.2437906e-11,8.321337e-06,6.5594604e-06,2.9773406e-07,2.9818497e-07,2.9773406e-07,2.9818497e-07,0.005675,0.005675
2.9764834e-07,3.3115813e-12,8.32118e-06,6.5593367e-06,2.976363e-07,2.98025e-07,2.976363e-07,2.98025e-07,0.005725,0.005725
2.9744746e-07,-2.4926127e-11,8.32103e-06,6.559218e-06,2.9753807e-07,2.9788276e-07,2.9753807e-07,2.9788276e-07,0.005775,0.005775
2.9747835e-07,1.0589503e-11,8.32088e-06,6.5591e-06,2.9743984e-07,2.9791832e-07,2.9743984e-07,2.9791832e-07,0.005825,0.005825
2.9720968e-07,-3.629737e-11,8.320725e-06,6.558978e-06,2.9734161e-07,2.97705e-07,2.9734161e-07,2.97705e-07,0.005875,0.005875
2.9719254e-07,-1.3991578e-11,8.320571e-06,6.558857e-06,2.972434e-07,2.976872e-07,2.972434e-07,2.976872e-07,0.005925,0.005925
2.9727346e-07,3.529017e-11,8.320417e-06,6.5587346e-06,2.9714516e-07,2.9749165e-07,2.9714516e-07,2.9749165e-07,0.005975,0.005975
2.970598e-07,3.5380989e-12,8.320276e-06,6.5586237e-06,2.9704694e-07,2.9708275e-07,2.9704694e-07,2.9708275e-07,0.006025,0.006025
2.9696628e-07,4.828256e-12,8.320136e-06,6.558513e-06,2.969487e-07,2.972072e-07,2.969487e-07,2.972072e-07,0.006075,0.006075
2.9673637e-07,-3.1391854e-11,8.31999e-06,6.5583986e-06,2.968505e-07,2.9699387e-07,2.968505e-07,2.9699387e-07,0.006125,0.006125
2.9672475e-07,-7.567266e-12,8.319847e-06,6.5582863e-06,2.9675226e-07,2.97065e-07,2.9675226e-07,2.97065e-07,0.006175,0.006175
2.9663616e-07,-4.9172827e-12,8.3196965e-06,6.5581667e-06,2.9665404e-07,2.9708275e-07,2.9665404e-07,2.9708275e-07,0.006225,0.006225
2.9658005e-07,6.668779e-12,8.319545e-06,6.5580475e-06,2.965558e-07,2.9665608e-07,2.965558e-07,2.9665608e-07,0.006275,0.006275
2.964279e-07,-8.164835e-12,8.319416e-06,6.557946e-06,2.9645759e-07,2.96425e-07,2.9645759e-07,2.96425e-07,0.006325,0.006325
2.962154e-07,-3.9599036e-11,8.319273e-06,6.557833e-06,2.9635936e-07,2.9670943e-07,2.9635936e-07,2.9670943e-07,0.006375,0.006375
2.9614344e-07,-3.2375033e-11,8.319115e-06,6.5577087e-06,2.9626113e-07,2.968161e-07,2.9626113e-07,2.968161e-07,0.006425,0.006425
2.9611417e-07,-1.3283365e-11,8.318955e-06,6.557583e-06,2.9616245e-07,2.9654942e-07,2.9616245e-07,2.9654942e-07,0.006475,0.006475
2.9604342e-07,-5.723837e-12,8.3188115e-06,6.557469e-06,2.9606423e-07,2.9612275e-07,2.9606423e-07,2.9612275e-07,0.006525,0.006525
2.957997e-07,-4.5749706e-11,8.318672e-06,6.5573595e-06,2.95966e-07,2.9621162e-07,2.95966e-07,2.9621162e-07,0.006575,0.006575
2.9590052e-07,9.0067025e-12,8.3185205e-06,6.5572403e-06,2.9586778e-07,2.9635385e-07,2.9586778e-07,2.9635385e-07,0.006625,0.006625
2.958333e-07,1.753754e-11,8.318356e-06,6.5571103e-06,2.9576955e-07,2.9644275e-07,2.9576955e-07,2.9644275e-07,0.006675,0.006675
2.954856e-07,-5.1097872e-11,8.318188e-06,6.556978e-06,2.9567133e-07,2.9626497e-07,2.9567133e-07,2.9626497e-07,0.006725,0.006725
2.9559104e-07,4.9300833e-12,8.318031e-06,6.5568547e-06,2.955731e-07,2.9589162e-07,2.955731e-07,2.9589162e-07,0.006775,0.006775
2.9555213e-07,2.1372723e-11,8.3178775e-06,6.5567333e-06,2.9547442e-07,2.9590942e-07,2.9547442e-07,2.9590942e-07,0.006825,0.006825
