tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-3.002607e-08,9.893677e-10,7.86507e-06,-3.1110112e-08,-3.3622722e-08,3.9204,0.0002
-2.9614434e-08,1.0358173e-09,7.865067e-06,-3.1120116e-08,-3.3379948e-08,3.9208,0.0006
-2.9759777e-08,1.0315977e-09,7.8650555e-06,-3.113012e-08,-3.3509952e-08,3.9212,0.001
-2.971117e-08,1.0348825e-09,7.865096e-06,-3.1140125e-08,-3.3473285e-08,3.9216,0.0014
-2.9813826e-08,1.01673e-09,7.865109e-06,-3.115013e-08,-3.3509952e-08,3.922,0.0018
-2.970902e-08,1.0276782e-09,7.865169e-06,-3.1160134e-08,-3.3444945e-08,3.9224,0.0022
-2.955656e-08,1.0252974e-09,7.86518e-06,-3.117014e-08,-3.328383e-08,3.9228,0.0026
-2.9665099e-08,1.0307456e-09,7.865198e-06,-3.1180143e-08,-3.3412174e-08,3.9232,0.003
-2.9728964e-08,1.0266241e-09,7.865241e-06,-3.1190147e-08,-3.3461056e-08,3.9236,0.0034
-2.9617764e-08,1.0124375e-09,7.865331e-06,-3.1200152e-08,-3.3298285e-08,3.924,0.0038
-2.9643033e-08,1.0137365e-09,7.865397e-06,-3.1210156e-08,-3.3328277e-08,3.9244,0.0042
-2.9493448e-08,9.931459e-10,7.865419e-06,-3.122016e-08,-3.3103838e-08,3.9248,0.0046
-2.9757011e-08,1.0146317e-09,7.865481e-06,-3.1230165e-08,-3.3445506e-08,3.9252,0.005
-2.9578123e-08,1.0042387e-09,7.865592e-06,-3.124108e-08,-3.322884e-08,3.9256,0.0054
-2.9381535e-08,1.0068127e-09,7.865612e-06,-3.1251083e-08,-3.304161e-08,3.926,0.0058
-2.9617187e-08,1.0015908e-09,7.865714e-06,-3.1261088e-08,-3.3258278e-08,3.9264,0.0062
-2.955391e-08,9.840001e-10,7.865795e-06,-3.1271092e-08,-3.313105e-08,3.9268,0.0066
-2.937849e-08,9.992452e-10,7.865863e-06,-3.1281097e-08,-3.301105e-08,3.9272,0.007
-2.933075e-08,9.940389e-10,7.865876e-06,-3.12911e-08,-3.2944385e-08,3.9276,0.0074
-2.9218945e-08,1.002178e-09,7.865923e-06,-3.1301106e-08,-3.2862168e-08,3.928,0.0078
-2.921742e-08,1.0027498e-09,7.865959e-06,-3.131111e-08,-3.2862722e-08,3.9284,0.0082
-2.91733e-08,9.95019e-10,7.865967e-06,-3.1321115e-08,-3.27905e-08,3.9288,0.0086
-2.9347317e-08,9.838279e-10,7.866013e-06,-3.133112e-08,-3.2923833e-08,3.9292,0.009
-2.913239e-08,1.0024517e-09,7.866057e-06,-3.1341123e-08,-3.2776608e-08,3.9296,0.0094
