tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-3.0078926e-08,1.0335127e-09,7.865033e-06,-3.1268364e-08,-3.383606e-08,4.5203,0.0001
-2.9883967e-08,1.0455746e-09,7.865087e-06,-3.127655e-08,-3.368495e-08,4.5205,0.0003
-3.000312e-08,1.0186031e-09,7.865122e-06,-3.1284735e-08,-3.370606e-08,4.5207,0.0005
-2.9737496e-08,1.0442964e-09,7.865162e-06,-3.129292e-08,-3.3533833e-08,4.5209,0.0007
-2.9902775e-08,1.0257312e-09,7.8651865e-06,-3.1301106e-08,-3.3631622e-08,4.5211,0.0009
-2.992244e-08,1.0242941e-09,7.8652465e-06,-3.130929e-08,-3.3646064e-08,4.5213,0.0011
-2.9757642e-08,1.0228636e-09,7.8653e-06,-3.1317477e-08,-3.3476063e-08,4.5215,0.0013
-2.9695636e-08,1.0173006e-09,7.86532e-06,-3.132657e-08,-3.3393835e-08,4.5217,0.0015
-2.977201e-08,1.000572e-09,7.865353e-06,-3.1334757e-08,-3.3409396e-08,4.5219,0.0017
-2.9586305e-08,1.0311771e-09,7.865382e-06,-3.1342942e-08,-3.333495e-08,4.5221,0.0019
-2.9660223e-08,1.032239e-09,7.86543e-06,-3.1351128e-08,-3.341273e-08,4.5223,0.0021
-2.985645e-08,1.0106582e-09,7.865471e-06,-3.1359313e-08,-3.35305e-08,4.5225,0.0023
-2.963697e-08,1.0254928e-09,7.865554e-06,-3.136841e-08,-3.336495e-08,4.5227,0.0025
-2.9478219e-08,1.0223956e-09,7.865608e-06,-3.1376594e-08,-3.319494e-08,4.5229,0.0027
-2.9720807e-08,9.923423e-10,7.86563e-06,-3.138478e-08,-3.3328277e-08,4.5231,0.0029
-2.9594013e-08,9.948236e-10,7.865698e-06,-3.1392965e-08,-3.32105e-08,4.5233,0.0031
-2.961208e-08,1.0029959e-09,7.8657495e-06,-3.140115e-08,-3.3258278e-08,4.5235,0.0033
-2.9587994e-08,9.747793e-10,7.865812e-06,-3.1410245e-08,-3.3131617e-08,4.5237,0.0035
-2.943976e-08,1.019528e-09,7.8658595e-06,-3.141843e-08,-3.314606e-08,4.5239,0.0037
-2.9324896e-08,1.0019142e-09,7.8658995e-06,-3.1426616e-08,-3.296716e-08,4.5241,0.0039
-2.9198306e-08,1.0018943e-09,7.86592e-06,-3.14348e-08,-3.28405e-08,4.5243,0.0041
-2.9611508e-08,1.0007088e-09,7.865983e-06,-3.1443896e-08,-3.324939e-08,4.5245,0.0043
-2.9317082e-08,1.0010069e-09,7.866051e-06,-3.1452082e-08,-3.295605e-08,4.5247,0.0045
-2.9337132e-08,9.948832e-10,7.866107e-06,-3.1460267e-08,-3.2953835e-08,4.5249,0.0047
-2.9370943e-08,9.764128e-10,7.8661515e-06,-3.1469362e-08,-3.2920504e-08,4.5251,0.0049
-2.9489888e-08,9.702825e-10,7.866215e-06,-3.1477548e-08,-3.3017162e-08,4.5253,0.0051
-2.949018e-08,9.650087e-10,7.866317e-06,-3.1485733e-08,-3.299828e-08,4.5255,0.0053
-2.9221727e-08,9.768057e-10,7.866375e-06,-3.1494828e-08,-3.2772714e-08,4.5257,0.0055
