tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-4.5700883e-09,-1.0856352e-10,7.9096035e-06,6.234903e-06,-4.1754267e-09,-4.2846606e-09,-4.1754267e-09,-4.2846606e-09,4.917503,0.0073029213
-3.6995185e-09,-1.3553289e-10,7.911081e-06,6.236068e-06,-3.2068148e-09,-3.4626797e-09,-3.2068148e-09,-3.4626797e-09,4.917703,0.007503001
-2.8704368e-09,-1.7441525e-10,7.9125575e-06,6.237232e-06,-2.236384e-09,-2.4679758e-09,-2.236384e-09,-2.4679758e-09,4.917903,0.0077030812
-1.9482165e-09,-1.879272e-10,7.914048e-06,6.2384065e-06,-1.2650436e-09,-1.5579624e-09,-1.2650436e-09,-1.5579624e-09,4.918103,0.007903161
-1.0372853e-09,-2.0479471e-10,7.915531e-06,6.2395757e-06,-2.927938e-10,-3.401769e-10,-2.927938e-10,-3.401769e-10,4.918303,0.008103241
-8.4964105e-11,-2.1077706e-10,7.917004e-06,6.2407366e-06,6.8127504e-10,4.44271e-10,6.8127504e-10,4.44271e-10,4.9185033,0.008303321
8.9995694e-10,-2.0804201e-10,7.918493e-06,6.2419103e-06,1.6562534e-09,1.5942824e-09,1.6562534e-09,1.5942824e-09,4.9187036,0.008503402
1.8499818e-09,-2.1540657e-10,7.919961e-06,6.2430677e-06,2.6330507e-09,2.5876299e-09,2.6330507e-09,2.5876299e-09,4.9189034,0.008703481
2.8238354e-09,-2.1646651e-10,7.921425e-06,6.2442214e-06,3.6107575e-09,3.615418e-09,3.6107575e-09,3.615418e-09,4.9191036,0.008903561
3.844862e-09,-2.0480019e-10,7.922909e-06,6.2453914e-06,4.5893738e-09,4.4832e-09,4.5893738e-09,4.4832e-09,4.9193034,0.009103642
4.7144617e-09,-2.3528893e-10,7.924386e-06,6.246556e-06,5.569809e-09,5.615438e-09,5.569809e-09,5.615438e-09,4.9195037,0.009303722
5.7303358e-09,-2.2579065e-10,7.9258725e-06,6.247728e-06,6.551154e-09,6.4243326e-09,6.551154e-09,6.4243326e-09,4.919704,0.009503801
6.6652475e-09,-2.3881364e-10,7.927359e-06,6.2488994e-06,7.533408e-09,7.6065705e-09,7.533408e-09,7.6065705e-09,4.9199038,0.009703881
7.759939e-09,-2.081344e-10,7.928825e-06,6.2500544e-06,8.5165714e-09,8.597618e-09,8.5165714e-09,8.597618e-09,4.920104,0.009903962
8.712827e-09,-2.169633e-10,7.930279e-06,6.251201e-06,9.501554e-09,9.804368e-09,9.501554e-09,9.804368e-09,4.920304,0.010104042
9.7262705e-09,-2.0913427e-10,7.931729e-06,6.2523436e-06,1.0486537e-08,1.0559932e-08,1.0486537e-08,1.0559932e-08,4.920504,0.010304121
1.05705755e-08,-2.483323e-10,7.933201e-06,6.253504e-06,1.1473339e-08,1.15955e-08,1.1473339e-08,1.15955e-08,4.9207044,0.010504202
1.1563225e-08,-2.469738e-10,7.934687e-06,6.254676e-06,1.246105e-08,1.25688375e-08,1.246105e-08,1.25688375e-08,4.920904,0.010704282
1.25208475e-08,-2.555007e-10,7.936124e-06,6.255809e-06,1.3449671e-08,1.3791072e-08,1.3449671e-08,1.3791072e-08,4.9211044,0.0109043615
1.3527482e-08,-2.5079577e-10,7.937607e-06,6.256977e-06,1.4439201e-08,1.4484417e-08,1.4439201e-08,1.4484417e-08,4.921304,0.011104442
1.4624269e-08,-2.2129153e-10,7.939069e-06,6.25813e-06,1.5428732e-08,1.5631096e-08,1.5428732e-08,1.5631096e-08,4.9215045,0.011304522
1.5461797e-08,-2.6360486e-10,7.94053e-06,6.2592812e-06,1.6420081e-08,1.6626657e-08,1.6420081e-08,1.6626657e-08,4.921705,0.011504602
1.6381438e-08,-2.8358033e-10,7.942015e-06,6.260452e-06,1.741234e-08,1.7351113e-08,1.741234e-08,1.7351113e-08,4.9219046,0.011704681
1.7297888e-08,-3.0468394e-10,7.943526e-06,6.261643e-06,1.8405508e-08,1.8524453e-08,1.8405508e-08,1.8524453e-08,4.922105,0.011904762
1.825233e-08,-3.1533712e-10,7.944985e-06,6.2627932e-06,1.9398676e-08,1.9777795e-08,1.9398676e-08,1.9777795e-08,4.9223046,0.012104842
1.9243616e-08,-3.1635464e-10,7.946438e-06,6.2639388e-06,2.0393664e-08,2.0506699e-08,2.0393664e-08,2.0506699e-08,4.922505,0.012304922
2.0046928e-08,-3.690812e-10,7.9479305e-06,6.2651147e-06,2.138865e-08,2.1626317e-08,2.138865e-08,2.1626317e-08,4.922705,0.012505002
2.1108107e-08,-3.5112296e-10,7.949357e-06,6.2662393e-06,2.2384548e-08,2.2912278e-08,2.2384548e-08,2.2912278e-08,4.922905,0.012705082
2.2004826e-08,-3.7865525e-10,7.950795e-06,6.267373e-06,2.3381354e-08,2.3670065e-08,2.3381354e-08,2.3670065e-08,4.9231052,0.012905162
2.2860311e-08,-4.175298e-10,7.95226e-06,6.2685276e-06,2.437816e-08,2.4538954e-08,2.437816e-08,2.4538954e-08,4.923305,0.0131052425
2.3821185e-08,-4.2791423e-10,7.953753e-06,6.269705e-06,2.5376785e-08,2.543675e-08,2.5376785e-08,2.543675e-08,4.9235053,0.013305322
2.47296e-08,-4.5272922e-10,7.95522e-06,6.270861e-06,2.637541e-08,2.6627864e-08,2.637541e-08,2.6627864e-08,4.9237056,0.013505402
2.561326e-08,-4.8460397e-10,7.956674e-06,6.272008e-06,2.7374945e-08,2.7883432e-08,2.7374945e-08,2.7883432e-08,4.9239054,0.013705482
2.6491906e-08,-5.178584e-10,7.95812e-06,6.273147e-06,2.837448e-08,2.8545667e-08,2.837448e-08,2.8545667e-08,4.9241056,0.013905562
2.7366179e-08,-5.5256555e-10,7.959591e-06,6.274307e-06,2.9374924e-08,2.9645678e-08,2.9374924e-08,2.9645678e-08,4.9243054,0.014105642
2.820195e-08,-5.981139e-10,7.961058e-06,6.275463e-06,3.0376277e-08,3.0512354e-08,3.0376277e-08,3.0512354e-08,4.9245057,0.014305722
2.9038716e-08,-6.433885e-10,7.962527e-06,6.2766208e-06,3.137763e-08,3.1689027e-08,3.137763e-08,3.1689027e-08,4.924706,0.014505803
2.994637e-08,-6.694136e-10,7.963978e-06,6.277765e-06,3.2379894e-08,3.2692366e-08,3.2379894e-08,3.2692366e-08,4.924906,0.014705882
3.0750027e-08,-7.24297e-10,7.965434e-06,6.2789127e-06,3.3383067e-08,3.363582e-08,3.3383067e-08,3.363582e-08,4.925106,0.014905962
3.1513203e-08,-7.903144e-10,7.966897e-06,6.280066e-06,3.438624e-08,3.4737948e-08,3.438624e-08,3.4737948e-08,4.925306,0.015106043
3.2377404e-08,-8.285428e-10,7.968328e-06,6.2811937e-06,3.5389412e-08,3.578018e-08,3.5389412e-08,3.578018e-08,4.925506,0.015306123
3.3273718e-08,-8.581884e-10,7.969763e-06,6.282325e-06,3.6393494e-08,3.6762415e-08,3.6393494e-08,3.6762415e-08,4.9257064,0.015506202
3.3992475e-08,-9.369251e-10,7.971201e-06,6.283459e-06,3.7398486e-08,3.767575e-08,3.7398486e-08,3.767575e-08,4.925906,0.015706282
3.6332274e-08,-5.6974614e-10,7.972671e-06,6.2846166e-06,3.8403478e-08,3.8584655e-08,3.8403478e-08,3.8584655e-08,4.9261065,0.015906362
3.718263e-08,-6.122838e-10,7.974138e-06,6.2857735e-06,3.940847e-08,3.9789107e-08,3.940847e-08,3.9789107e-08,4.9263062,0.016106443
3.817433e-08,-6.161898e-10,7.97556e-06,6.286895e-06,4.041437e-08,4.0720224e-08,4.041437e-08,4.0720224e-08,4.9265065,0.016306523
3.9192322e-08,-6.1286404e-10,7.976998e-06,6.288028e-06,4.142027e-08,4.1844682e-08,4.142027e-08,4.1844682e-08,4.926707,0.016506603
4.014138e-08,-6.287504e-10,7.978438e-06,6.289163e-06,4.2427082e-08,4.262914e-08,4.2427082e-08,4.262914e-08,4.9269066,0.016706683
4.0919748e-08,-6.9159084e-10,7.979884e-06,6.290303e-06,4.3433893e-08,4.374915e-08,4.3433893e-08,4.374915e-08,4.927107,0.016906762
4.191117e-08,-6.958237e-10,7.981329e-06,6.2914423e-06,4.4440704e-08,4.4764707e-08,4.4440704e-08,4.4764707e-08,4.9273067,0.017106842
4.279526e-08,-7.2983175e-10,7.982766e-06,6.2925747e-06,4.5448424e-08,4.5693614e-08,4.5448424e-08,4.5693614e-08,4.927507,0.017306922
