tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-3.0685197e-08,1.1031863e-09,7.863702e-06,-3.352664e-08,-3.4695617e-08,4.88021,1e-05
-3.0842187e-08,1.0416625e-09,7.863725e-06,-3.3514816e-08,-3.462895e-08,4.88023,3e-05
-3.105983e-08,1.0490357e-09,7.8637495e-06,-3.3503902e-08,-3.48734e-08,4.88025,5e-05
-3.0696853e-08,1.0816409e-09,7.863775e-06,-3.3492988e-08,-3.462895e-08,4.88027,7e-05
-3.070534e-08,1.0976454e-09,7.8638e-06,-3.3482074e-08,-3.4695617e-08,4.88029,9e-05
-3.054064e-08,1.0940472e-09,7.863825e-06,-3.347116e-08,-3.451784e-08,4.88031,0.00011
-3.0632282e-08,1.074952e-09,7.863848e-06,-3.3460246e-08,-3.454006e-08,4.88033,0.00013
-3.0442802e-08,1.099566e-09,7.863872e-06,-3.3449332e-08,-3.444006e-08,4.88035,0.00015
-3.0594542e-08,1.1036719e-09,7.863897e-06,-3.3439328e-08,-3.4606728e-08,4.88037,0.00017
-3.0671853e-08,1.0579541e-09,7.863923e-06,-3.3428414e-08,-3.451784e-08,4.88039,0.00019
-3.0693496e-08,1.0367177e-09,7.863948e-06,-3.341841e-08,-3.4462282e-08,4.88041,0.00021
-3.08201e-08,1.0660778e-09,7.863977e-06,-3.3407495e-08,-3.4695617e-08,4.88043,0.00023
-3.052337e-08,1.0774024e-09,7.864006e-06,-3.339749e-08,-3.444006e-08,4.88045,0.00025
-3.0563935e-08,1.0693008e-09,7.864033e-06,-3.3387487e-08,-3.445117e-08,4.88047,0.00027
-3.0644443e-08,1.0685502e-09,7.864062e-06,-3.3377482e-08,-3.452895e-08,4.88049,0.00029
-3.0619795e-08,1.0478216e-09,7.864092e-06,-3.3367478e-08,-3.4428947e-08,4.88051,0.00031
-3.0879345e-08,1.0314417e-09,7.8641215e-06,-3.3357473e-08,-3.462895e-08,4.88053,0.00033
-3.0997693e-08,1.0172253e-09,7.864156e-06,-3.334747e-08,-3.4695617e-08,4.88055,0.00035
-3.0761353e-08,1.0149956e-09,7.86419e-06,-3.3338374e-08,-3.445117e-08,4.88057,0.00037
-3.07456e-08,1.037667e-09,7.864223e-06,-3.332837e-08,-3.451784e-08,4.88059,0.00039
-3.0403022e-08,1.0860559e-09,7.864255e-06,-3.3319274e-08,-3.435117e-08,4.88061,0.00041
-3.03749e-08,1.0907358e-09,7.864286e-06,-3.330927e-08,-3.4340058e-08,4.88063,0.00043
-3.056693e-08,1.0440246e-09,7.864317e-06,-3.3300175e-08,-3.436228e-08,4.88065,0.00045
-3.0771282e-08,1.0306028e-09,7.864352e-06,-3.329108e-08,-3.451784e-08,4.88067,0.00047
-3.0560244e-08,1.0703163e-09,7.864387e-06,-3.3281985e-08,-3.445117e-08,4.88069,0.00049
-3.0451993e-08,1.0939809e-09,7.864423e-06,-3.327289e-08,-3.4428947e-08,4.88071,0.00051
-3.0342026e-08,1.0753273e-09,7.864458e-06,-3.3263795e-08,-3.425117e-08,4.88073,0.00053
-3.018093e-08,1.0768505e-09,7.86449e-06,-3.32547e-08,-3.409561e-08,4.88075,0.00055
-3.0407627e-08,1.0603383e-09,7.864523e-06,-3.3245605e-08,-3.426228e-08,4.88077,0.00057
-3.0347188e-08,1.0494551e-09,7.864557e-06,-3.323742e-08,-3.416228e-08,4.88079,0.00059
-3.0326877e-08,1.061155e-09,7.86459e-06,-3.3228325e-08,-3.4184502e-08,4.88081,0.00061
-3.0538718e-08,1.0212209e-09,7.864626e-06,-3.322014e-08,-3.425117e-08,4.88083,0.00063
-3.0320216e-08,1.0293667e-09,7.864662e-06,-3.3211954e-08,-3.406228e-08,4.88085,0.00065
-2.9706431e-08,1.0820602e-09,7.864692e-06,-3.320286e-08,-3.3640053e-08,4.88087,0.00067
