tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.902142e-08,9.565776e-10,7.865109e-06,-3.131202e-08,-3.249887e-08,0.9767,0.0565
-2.900981e-08,9.509692e-10,7.865104e-06,-3.1317477e-08,-3.2466875e-08,0.9777,0.0575
-2.9009856e-08,9.436198e-10,7.865063e-06,-3.1322934e-08,-3.24402e-08,0.9787,0.0585
-2.9092549e-08,9.420856e-10,7.865045e-06,-3.132839e-08,-3.251732e-08,0.9797,0.0595
-2.9134862e-08,9.467077e-10,7.865163e-06,-3.1333848e-08,-3.2576434e-08,0.9807,0.0605
-2.8996539e-08,9.445938e-10,7.8652565e-06,-3.1339304e-08,-3.2430425e-08,0.9817,0.0615
-2.9007932e-08,9.323526e-10,7.865232e-06,-3.134567e-08,-3.239732e-08,0.9827,0.0625
-2.889258e-08,9.481894e-10,7.865236e-06,-3.1351128e-08,-3.233954e-08,0.9837,0.0635
-2.8878668e-08,9.622871e-10,7.865191e-06,-3.1356585e-08,-3.2376878e-08,0.9847,0.0645
-2.8979441e-08,9.403721e-10,7.865221e-06,-3.1362042e-08,-3.239798e-08,0.9857,0.0655
-2.8979603e-08,9.344595e-10,7.865281e-06,-3.13675e-08,-3.237665e-08,0.9867,0.0665
-2.888181e-08,9.460778e-10,7.8653e-06,-3.1372956e-08,-3.2321093e-08,0.9877,0.0675
-2.8922939e-08,9.458888e-10,7.86533e-06,-3.1378413e-08,-3.2361534e-08,0.9887,0.0685
-2.8836247e-08,9.512747e-10,7.865362e-06,-3.138387e-08,-3.2294423e-08,0.9897,0.0695
-2.8876535e-08,9.381151e-10,7.865363e-06,-3.1389327e-08,-3.228687e-08,0.9907,0.0705
-2.8807232e-08,9.472151e-10,7.865408e-06,-3.1394784e-08,-3.225065e-08,0.9917,0.0715
-2.88927e-08,9.3079683e-10,7.865412e-06,-3.140024e-08,-3.2276432e-08,0.9927,0.0725
-2.8855075e-08,9.340547e-10,7.865475e-06,-3.1405698e-08,-3.225065e-08,0.9937,0.0735
-2.8880576e-08,9.382269e-10,7.865497e-06,-3.1411155e-08,-3.2291318e-08,0.9947,0.0745
-2.8868856e-08,9.190766e-10,7.865566e-06,-3.141752e-08,-3.2209982e-08,0.9957,0.0755
-2.8794625e-08,9.1473973e-10,7.865575e-06,-3.1422978e-08,-3.2119985e-08,0.9967,0.0765
-2.8800029e-08,9.2633273e-10,7.865575e-06,-3.1428435e-08,-3.216753e-08,0.9977,0.0775
-2.8777704e-08,9.319249e-10,7.865586e-06,-3.1433892e-08,-3.2165538e-08,0.9987,0.0785
-2.8892766e-08,9.159234e-10,7.865646e-06,-3.143935e-08,-3.2222427e-08,0.9997,0.0795
-2.8671183e-08,9.380586e-10,7.865703e-06,-3.1444806e-08,-3.2081314e-08,1.0007,0.0805
-2.8717718e-08,9.346118e-10,7.865704e-06,-3.1450263e-08,-3.211532e-08,1.0017,0.0815
-2.8824322e-08,9.079763e-10,7.865758e-06,-3.145572e-08,-3.2125094e-08,1.0027,0.0825
-2.867709e-08,9.2158126e-10,7.865774e-06,-3.1461177e-08,-3.202732e-08,1.0037,0.0835
-2.8605166e-08,9.2204794e-10,7.865717e-06,-3.1466634e-08,-3.1957093e-08,1.0047,0.0845
-2.8782523e-08,9.122602e-10,7.865735e-06,-3.147209e-08,-3.2098868e-08,1.0057,0.0855
-2.8708225e-08,9.269526e-10,7.865823e-06,-3.1477548e-08,-3.207798e-08,1.0067,0.0865
-2.8640047e-08,9.2981267e-10,7.865873e-06,-3.1483005e-08,-3.20202e-08,1.0077,0.0875
-2.8646866e-08,9.223729e-10,7.865902e-06,-3.148846e-08,-3.1999974e-08,1.0087,0.0885
-2.863484e-08,9.2238306e-10,7.8659305e-06,-3.149392e-08,-3.1987984e-08,1.0097,0.0895
-2.85602e-08,9.2157953e-10,7.8659305e-06,-3.1499376e-08,-3.1910425e-08,1.0107,0.0905
-2.8663305e-08,9.183406e-10,7.865978e-06,-3.1504833e-08,-3.2001754e-08,1.0117,0.0915
-2.8553892e-08,9.2343694e-10,7.866025e-06,-3.151029e-08,-3.191087e-08,1.0127,0.0925
-2.8616606e-08,9.215905e-10,7.86606e-06,-3.1515746e-08,-3.196687e-08,1.0137,0.0935
-2.8645896e-08,9.071158e-10,7.866112e-06,-3.1521203e-08,-3.194354e-08,1.0147,0.0945
-2.855635e-08,9.1090213e-10,7.866173e-06,-3.152666e-08,-3.1867756e-08,1.0157,0.0955
-2.8554167e-08,9.0386104e-10,7.866157e-06,-3.1532117e-08,-3.1839978e-08,1.0167,0.0965
-2.8657276e-08,8.9964247e-10,7.866213e-06,-3.1537574e-08,-3.192775e-08,1.0177,0.0975
-2.8595743e-08,8.904071e-10,7.8662515e-06,-3.154303e-08,-3.1832645e-08,1.0187,0.0985
-2.849206e-08,8.9906055e-10,7.866292e-06,-3.154849e-08,-3.1760422e-08,1.0197,0.0995
-2.8521544e-08,9.077608e-10,7.866269e-06,-3.1553945e-08,-3.1821532e-08,1.0207,0.1005
-2.8452755e-08,9.1824837e-10,7.866321e-06,-3.1559402e-08,-3.179087e-08,1.0217,0.1015
-2.8507648e-08,8.893942e-10,7.866321e-06,-3.156486e-08,-3.1740868e-08,1.0227,0.1025
-2.853256e-08,8.9250507e-10,7.866317e-06,-3.1570316e-08,-3.1777088e-08,1.0237,0.1035
-2.8450321e-08,9.0424734e-10,7.866349e-06,-3.1575773e-08,-3.1737535e-08,1.0247,0.1045
-2.8453467e-08,8.961047e-10,7.86638e-06,-3.158123e-08,-3.171108e-08,1.0257,0.1055
-2.8512485e-08,8.949108e-10,7.866441e-06,-3.1585778e-08,-3.176576e-08,1.0267,0.1065
-2.8505472e-08,8.8155794e-10,7.866469e-06,-3.1591235e-08,-3.1710204e-08,1.0277,0.1075
-2.8334204e-08,8.941294e-10,7.866463e-06,-3.159669e-08,-3.1584637e-08,1.0287,0.1085
-2.836906e-08,8.996416e-10,7.8664225e-06,-3.160215e-08,-3.1639534e-08,1.0297,0.1095
-2.8331835e-08,9.1086066e-10,7.866432e-06,-3.1607605e-08,-3.164309e-08,1.0307,0.1105
-2.8358018e-08,8.9980445e-10,7.866437e-06,-3.1613062e-08,-3.162908e-08,1.0317,0.1115
-2.8314215e-08,8.990791e-10,7.866414e-06,-3.161852e-08,-3.158264e-08,1.0327,0.1125
-2.8340732e-08,9.0205526e-10,7.866423e-06,-3.1623976e-08,-3.161998e-08,1.0337,0.1135
-2.8344685e-08,9.0280056e-10,7.866455e-06,-3.1629433e-08,-3.162664e-08,1.0347,0.1145
-2.8289442e-08,8.984968e-10,7.866489e-06,-3.163489e-08,-3.1555754e-08,1.0357,0.1155
