tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.9871078e-08,1.0329037e-09,7.859655e-06,-3.3460246e-08,-3.3626e-08,0.2267,0.0565
-2.9817027e-08,1.0262546e-09,7.8596895e-06,-3.3467522e-08,-3.3547778e-08,0.2277,0.0575
-2.997775e-08,1.0203088e-09,7.859702e-06,-3.3475708e-08,-3.3686884e-08,0.2287,0.0585
-2.993191e-08,1.027784e-09,7.859728e-06,-3.3482983e-08,-3.3668222e-08,0.2297,0.0595
-2.9888785e-08,1.0221018e-09,7.859748e-06,-3.348935e-08,-3.360444e-08,0.2307,0.0605
-2.9888565e-08,1.0193508e-09,7.859765e-06,-3.3496626e-08,-3.359422e-08,0.2317,0.0615
-2.994331e-08,1.012605e-09,7.8597695e-06,-3.3503902e-08,-3.362444e-08,0.2327,0.0625
-2.9888643e-08,1.0294785e-09,7.859788e-06,-3.351027e-08,-3.363111e-08,0.2337,0.0635
-2.99438e-08,1.0182788e-09,7.859807e-06,-3.3516635e-08,-3.3645552e-08,0.2347,0.0645
-2.9823823e-08,1.0292744e-09,7.8598305e-06,-3.352391e-08,-3.356555e-08,0.2357,0.0655
-2.987563e-08,1.0282286e-09,7.859859e-06,-3.3530277e-08,-3.3613553e-08,0.2367,0.0665
-2.990592e-08,1.0209344e-09,7.859882e-06,-3.3536644e-08,-3.361733e-08,0.2377,0.0675
-2.9996503e-08,1.0292114e-09,7.859906e-06,-3.35421e-08,-3.3738e-08,0.2387,0.0685
-2.9923452e-08,1.0155626e-09,7.859918e-06,-3.3548467e-08,-3.3615333e-08,0.2397,0.0695
-2.98869e-08,1.0259817e-09,7.859935e-06,-3.3554834e-08,-3.3616658e-08,0.2407,0.0705
-2.978542e-08,1.0394711e-09,7.859972e-06,-3.356029e-08,-3.3564216e-08,0.2417,0.0715
-2.9798066e-08,1.0548835e-09,7.860034e-06,-3.3565748e-08,-3.363289e-08,0.2427,0.0725
-2.9843928e-08,1.0301019e-09,7.8600815e-06,-3.3572114e-08,-3.3588663e-08,0.2437,0.0735
-2.985079e-08,1.0326763e-09,7.860114e-06,-3.357757e-08,-3.3604884e-08,0.2447,0.0745
-2.9882962e-08,1.0320793e-09,7.86015e-06,-3.3583028e-08,-3.3634887e-08,0.2457,0.0755
-2.984412e-08,1.0305381e-09,7.860182e-06,-3.3588485e-08,-3.3590442e-08,0.2467,0.0765
-2.9839203e-08,1.0222316e-09,7.860204e-06,-3.3593032e-08,-3.3555327e-08,0.2477,0.0775
-2.9804724e-08,1.0280475e-09,7.86023e-06,-3.359849e-08,-3.3541994e-08,0.2487,0.0785
-2.995938e-08,1.018881e-09,7.860246e-06,-3.3603946e-08,-3.3663326e-08,0.2497,0.0795
-2.9767053e-08,1.0321751e-09,7.860275e-06,-3.3608494e-08,-3.3519324e-08,0.2507,0.0805
-2.97121e-08,1.0237561e-09,7.8603e-06,-3.361304e-08,-3.3433768e-08,0.2517,0.0815
-2.9716714e-08,1.029946e-09,7.860329e-06,-3.3618498e-08,-3.3460882e-08,0.2527,0.0825
-2.9853886e-08,1.026935e-09,7.860354e-06,-3.3623046e-08,-3.358711e-08,0.2537,0.0835
-2.9754336e-08,1.0307213e-09,7.8603825e-06,-3.3627593e-08,-3.3501323e-08,0.2547,0.0845
-2.9918898e-08,1.0217045e-09,7.860409e-06,-3.363214e-08,-3.3633107e-08,0.2557,0.0855
-2.9801477e-08,1.0183062e-09,7.860423e-06,-3.363578e-08,-3.350333e-08,0.2567,0.0865
-2.992002e-08,1.0067847e-09,7.860428e-06,-3.3640326e-08,-3.3579994e-08,0.2577,0.0875
-2.989499e-08,1.0135477e-09,7.860425e-06,-3.3644874e-08,-3.3579546e-08,0.2587,0.0885
-2.9932266e-08,1.0120363e-09,7.860429e-06,-3.364851e-08,-3.361133e-08,0.2597,0.0895
-2.989661e-08,1.0150603e-09,7.860429e-06,-3.365306e-08,-3.3586666e-08,0.2607,0.0905
-2.9978626e-08,1.0299089e-09,7.860449e-06,-3.3656697e-08,-3.372266e-08,0.2617,0.0915
-2.9902612e-08,1.0261252e-09,7.86048e-06,-3.3660335e-08,-3.363289e-08,0.2627,0.0925
-2.976264e-08,1.0247716e-09,7.860499e-06,-3.3663973e-08,-3.3488e-08,0.2637,0.0935
-2.9871e-08,1.0180099e-09,7.860517e-06,-3.366852e-08,-3.357178e-08,0.2647,0.0945
-2.9883147e-08,1.016439e-09,7.860531e-06,-3.367125e-08,-3.3578214e-08,0.2657,0.0955
-2.9912552e-08,1.0240625e-09,7.860541e-06,-3.3674887e-08,-3.363533e-08,0.2667,0.0965
-2.992439e-08,1.0211106e-09,7.8605535e-06,-3.3678525e-08,-3.363644e-08,0.2677,0.0975
-3.0019894e-08,1.0208188e-09,7.860574e-06,-3.3682163e-08,-3.3730885e-08,0.2687,0.0985
-2.9911536e-08,1.0193892e-09,7.860594e-06,-3.368489e-08,-3.361733e-08,0.2697,0.0995
-2.994582e-08,1.0097141e-09,7.8605935e-06,-3.368853e-08,-3.361644e-08,0.2707,0.1005
-2.994042e-08,1.0196973e-09,7.860603e-06,-3.3691258e-08,-3.3647332e-08,0.2717,0.1015
-3.0034506e-08,9.992548e-10,7.860603e-06,-3.3694896e-08,-3.3667103e-08,0.2727,0.1025
-3.0045257e-08,9.958107e-10,7.860576e-06,-3.3697624e-08,-3.3665334e-08,0.2737,0.1035
-2.9959352e-08,1.0167495e-09,7.860571e-06,-3.3700353e-08,-3.3655546e-08,0.2747,0.1045
-2.9941358e-08,1.0205375e-09,7.860591e-06,-3.370308e-08,-3.3651325e-08,0.2757,0.1055
-2.994142e-08,1.0189936e-09,7.8606e-06,-3.370672e-08,-3.364577e-08,0.2767,0.1065
-3.006933e-08,1.0048354e-09,7.860595e-06,-3.3708538e-08,-3.3722213e-08,0.2777,0.1075
-2.9906804e-08,1.026927e-09,7.860608e-06,-3.3711267e-08,-3.3639996e-08,0.2787,0.1085
-2.995204e-08,1.0248139e-09,7.860631e-06,-3.3713995e-08,-3.367755e-08,0.2797,0.1095
-2.9993714e-08,1.0148783e-09,7.860645e-06,-3.3716724e-08,-3.3683108e-08,0.2807,0.1105
