Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N]	Contact Point Offset [m]
WT_2_3um_Durchmesser-2016.10.26-13.49.26.517.jpk-force	93	1.58232e-05	2.35578e-05	-4.67332e-09	-1.10285e-05	9.58447e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.31.541.jpk-force	94	1.57913e-05	2.35578e-05	-4.55872e-09	-2.77033e-05	9.62031e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.36.565.jpk-force	95	1.57594e-05	2.35578e-05	-4.65497e-09	-1.86619e-05	9.64794e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.41.590.jpk-force	96	1.57276e-05	2.35578e-05	-4.65142e-09	-2.12945e-05	9.67722e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.46.615.jpk-force	97	1.56957e-05	2.35578e-05	-5.66752e-09	7.86029e-05	9.71388e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.51.640.jpk-force	98	1.56638e-05	2.35578e-05	-7.41809e-09	0.000251512	9.73821e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.56.666.jpk-force	99	1.56319e-05	2.35578e-05	-6.66667e-09	0.000173713	9.78284e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.14.859.jpk-force	0	3.13393e-05	-1.45347e-05	4.74102e-07	-0.0663842	7.21894e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.19.897.jpk-force	1	3.13695e-05	-1.45347e-05	-9.00619e-09	0.000295524	7.25205e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.24.942.jpk-force	2	3.13997e-05	-1.45347e-05	-8.41056e-09	0.000206252	7.25179e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.29.984.jpk-force	3	3.14299e-05	-1.45347e-05	-9.65987e-09	0.000370347	7.25572e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.35.028.jpk-force	4	3.14602e-05	-1.45347e-05	-1.00238e-08	0.000417989	7.25170e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.40.074.jpk-force	5	3.14904e-05	-1.45347e-05	-8.62984e-09	0.000233605	7.24601e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.45.117.jpk-force	6	3.15206e-05	-1.45347e-05	-7.87637e-09	0.000120046	7.24131e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.50.160.jpk-force	7	3.15508e-05	-1.45347e-05	-9.46551e-09	0.000331066	7.24897e-06
WT_3_3um_Durchmesser-2016.10.26-14.07.55.202.jpk-force	8	3.15810e-05	-1.45347e-05	-8.24903e-09	0.000165859	7.24003e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.00.247.jpk-force	9	3.16112e-05	-1.45347e-05	-1.04422e-08	0.000457333	7.24232e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.05.285.jpk-force	10	3.16112e-05	-1.45045e-05	-9.14451e-09	0.000276898	7.24400e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.10.320.jpk-force	11	3.15810e-05	-1.45045e-05	-8.23764e-09	0.000155477	7.25699e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.15.358.jpk-force	12	3.15508e-05	-1.45045e-05	-8.16377e-09	0.000143309	7.25641e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.20.396.jpk-force	13	3.15206e-05	-1.45045e-05	-9.53673e-09	0.000317528	7.26200e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.25.438.jpk-force	14	3.14904e-05	-1.45045e-05	-9.71016e-09	0.000332953	7.26618e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.30.475.jpk-force	15	3.14602e-05	-1.45045e-05	-9.32423e-09	0.000277477	7.27242e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.35.517.jpk-force	16	3.14300e-05	-1.45045e-05	-9.41350e-09	0.000287308	7.27548e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.40.555.jpk-force	17	3.13997e-05	-1.45045e-05	-9.41900e-09	0.000280657	7.27518e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.45.598.jpk-force	18	3.13695e-05	-1.45045e-05	-9.59681e-09	0.000299773	7.28087e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.50.639.jpk-force	19	3.13393e-05	-1.45045e-05	-9.58307e-09	0.000295530	7.27342e-06
WT_3_3um_Durchmesser-2016.10.26-14.08.55.681.jpk-force	20	3.13393e-05	-1.44743e-05	-8.68987e-09	0.000167890	7.26855e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.00.725.jpk-force	21	3.13695e-05	-1.44743e-05	-9.79219e-09	0.000311353	7.25989e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.05.770.jpk-force	22	3.13997e-05	-1.44743e-05	-1.04523e-08	0.000396193	7.25971e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.10.814.jpk-force	23	3.14299e-05	-1.44743e-05	-9.53626e-09	0.000274041	7.25368e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.15.859.jpk-force	24	3.14602e-05	-1.44743e-05	-1.01784e-08	0.000351687	7.25196e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.20.902.jpk-force	25	3.14904e-05	-1.44743e-05	-9.89933e-09	0.000307325	7.24528e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.25.944.jpk-force	26	3.15206e-05	-1.44743e-05	-9.14141e-09	0.000192397	7.24850e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.30.987.jpk-force	27	3.15508e-05	-1.44743e-05	-9.84104e-09	0.000281691	7.24765e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.36.029.jpk-force	28	3.15810e-05	-1.44743e-05	-9.23751e-09	0.000193763	7.24450e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.41.073.jpk-force	29	3.16112e-05	-1.44743e-05	-1.06847e-08	0.000385870	7.24457e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.46.116.jpk-force	30	3.16112e-05	-1.44441e-05	-1.02037e-08	0.000312367	7.24895e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.51.148.jpk-force	31	3.15810e-05	-1.44441e-05	-1.01393e-08	0.000308769	7.26120e-06
WT_3_3um_Durchmesser-2016.10.26-14.09.56.186.jpk-force	32	3.15508e-05	-1.44441e-05	-1.08322e-08	0.000384805	7.26724e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.01.225.jpk-force	33	3.15206e-05	-1.44441e-05	-9.68165e-09	0.000223796	7.27213e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.06.265.jpk-force	34	3.14904e-05	-1.44441e-05	-9.30677e-09	0.000172531	7.26825e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.11.308.jpk-force	35	3.14602e-05	-1.44441e-05	-1.06061e-08	0.000341978	7.27953e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.16.346.jpk-force	36	3.14300e-05	-1.44441e-05	-1.13022e-08	0.000430961	7.28267e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.21.387.jpk-force	37	3.13997e-05	-1.44441e-05	-1.16651e-08	0.000473758	7.29026e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.26.428.jpk-force	38	3.13695e-05	-1.44441e-05	-1.09199e-08	0.000368740	7.28207e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.31.465.jpk-force	39	3.13393e-05	-1.44441e-05	-9.28331e-09	0.000142184	7.27792e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.36.510.jpk-force	40	3.13393e-05	-1.44139e-05	-8.66449e-09	5.53506e-05	7.26319e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.41.556.jpk-force	41	3.13695e-05	-1.44139e-05	-1.04130e-08	0.000286535	7.26084e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.46.601.jpk-force	42	3.13997e-05	-1.44139e-05	-1.12939e-08	0.000396630	7.25456e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.51.646.jpk-force	43	3.14299e-05	-1.44139e-05	-1.11448e-08	0.000379997	7.25471e-06
WT_3_3um_Durchmesser-2016.10.26-14.10.56.688.jpk-force	44	3.14602e-05	-1.44139e-05	-1.07589e-08	0.000324178	7.25232e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.01.731.jpk-force	45	3.14904e-05	-1.44139e-05	-1.04768e-08	0.000277380	7.24780e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.06.774.jpk-force	46	3.15206e-05	-1.44139e-05	-1.16698e-08	0.000437126	7.25105e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.11.817.jpk-force	47	3.15508e-05	-1.44139e-05	-1.13454e-08	0.000386064	7.25131e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.16.860.jpk-force	48	3.15810e-05	-1.44139e-05	-1.27035e-08	0.000560967	7.26449e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.21.903.jpk-force	49	3.16112e-05	-1.44139e-05	-1.21746e-08	0.000490394	7.25475e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.26.946.jpk-force	50	3.16112e-05	-1.43836e-05	-1.07974e-08	0.000305140	7.24213e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.31.978.jpk-force	51	3.15810e-05	-1.43836e-05	-1.03269e-08	0.000233649	7.25863e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.37.017.jpk-force	52	3.15508e-05	-1.43836e-05	-1.12031e-08	0.000343385	7.26237e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.42.059.jpk-force	53	3.15206e-05	-1.43836e-05	-1.14548e-08	0.000384246	7.26863e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.47.099.jpk-force	54	3.14904e-05	-1.43836e-05	-1.07262e-08	0.000286589	7.26718e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.52.139.jpk-force	55	3.14602e-05	-1.43836e-05	-1.24554e-08	0.000504991	7.27705e-06
WT_3_3um_Durchmesser-2016.10.26-14.11.57.179.jpk-force	56	3.14300e-05	-1.43836e-05	-1.27587e-08	0.000543393	7.27781e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.02.215.jpk-force	57	3.13997e-05	-1.43836e-05	-1.13020e-08	0.000340262	7.28597e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.07.257.jpk-force	58	3.13695e-05	-1.43836e-05	-1.13777e-08	0.000344440	7.29474e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.12.298.jpk-force	59	3.13393e-05	-1.43836e-05	-1.02660e-08	0.000205028	7.27564e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.17.342.jpk-force	60	3.13393e-05	-1.43534e-05	-1.18492e-08	0.000405206	7.27693e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.22.392.jpk-force	61	3.13695e-05	-1.43534e-05	-1.12444e-08	0.000321917	7.25980e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.27.433.jpk-force	62	3.13997e-05	-1.43534e-05	-1.18276e-08	0.000398009	7.25354e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.32.478.jpk-force	63	3.14299e-05	-1.43534e-05	-1.24288e-08	0.000479218	7.26089e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.37.523.jpk-force	64	3.14602e-05	-1.43534e-05	-1.16594e-08	0.000363522	7.25493e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.42.567.jpk-force	65	3.14904e-05	-1.43534e-05	-1.07845e-08	0.000247881	7.24085e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.47.611.jpk-force	66	3.15206e-05	-1.43534e-05	-1.22212e-08	0.000437011	7.24989e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.52.654.jpk-force	67	3.15508e-05	-1.43534e-05	-1.14441e-08	0.000324682	7.25219e-06
WT_3_3um_Durchmesser-2016.10.26-14.12.57.697.jpk-force	68	3.15810e-05	-1.43534e-05	-1.19526e-08	0.000397172	7.24221e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.02.742.jpk-force	69	3.16112e-05	-1.43534e-05	-1.23072e-08	0.000436436	7.24292e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.07.785.jpk-force	70	3.16112e-05	-1.43232e-05	-1.16881e-08	0.000349872	7.23977e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.12.818.jpk-force	71	3.15810e-05	-1.43232e-05	-1.19584e-08	0.000382533	7.25730e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.17.856.jpk-force	72	3.15508e-05	-1.43232e-05	-1.19100e-08	0.000370229	7.27186e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.22.895.jpk-force	73	3.15206e-05	-1.43232e-05	-1.10873e-08	0.000260599	7.26558e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.27.935.jpk-force	74	3.14904e-05	-1.43232e-05	-1.10766e-08	0.000260652	7.26415e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.32.974.jpk-force	75	3.14602e-05	-1.43232e-05	-1.19166e-08	0.000362106	7.27466e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.38.014.jpk-force	76	3.14300e-05	-1.43232e-05	-1.26408e-08	0.000463965	7.27683e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.43.052.jpk-force	77	3.13997e-05	-1.43232e-05	-1.21516e-08	0.000391455	7.27218e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.48.093.jpk-force	78	3.13695e-05	-1.43232e-05	-1.43299e-08	0.000674087	7.28239e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.53.141.jpk-force	79	3.13393e-05	-1.43232e-05	-1.25733e-08	0.000437394	7.27558e-06
WT_3_3um_Durchmesser-2016.10.26-14.13.58.180.jpk-force	80	3.13393e-05	-1.42930e-05	-1.28619e-08	0.000464621	7.27746e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.03.228.jpk-force	81	3.13695e-05	-1.42930e-05	-1.17993e-08	0.000332112	7.25327e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.08.273.jpk-force	82	3.13997e-05	-1.42930e-05	-1.29408e-08	0.000480983	7.24798e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.13.318.jpk-force	83	3.14299e-05	-1.42930e-05	-1.22014e-08	0.000379397	7.25341e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.18.361.jpk-force	84	3.14602e-05	-1.42930e-05	-1.35886e-08	0.000561050	7.26193e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.23.407.jpk-force	85	3.14904e-05	-1.42930e-05	-1.07730e-08	0.000185830	7.23190e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.28.448.jpk-force	86	3.15206e-05	-1.42930e-05	-1.30313e-08	0.000476962	7.24371e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.33.491.jpk-force	87	3.15508e-05	-1.42930e-05	-1.20517e-08	0.000342573	7.24187e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.38.535.jpk-force	88	3.15810e-05	-1.42930e-05	-1.12274e-08	0.000234249	7.23207e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.43.579.jpk-force	89	3.16112e-05	-1.42930e-05	-1.33710e-08	0.000512277	7.22899e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.48.622.jpk-force	90	3.16112e-05	-1.42628e-05	-1.24231e-08	0.000380819	7.23463e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.53.654.jpk-force	91	3.15810e-05	-1.42628e-05	-1.39467e-08	0.000575737	7.24986e-06
WT_3_3um_Durchmesser-2016.10.26-14.14.58.692.jpk-force	92	3.15508e-05	-1.42628e-05	-1.45726e-08	0.000661646	7.27218e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.03.733.jpk-force	93	3.15206e-05	-1.42628e-05	-1.19259e-08	0.000302112	7.25233e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.08.773.jpk-force	94	3.14904e-05	-1.42628e-05	-1.30392e-08	0.000450953	7.26325e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.13.813.jpk-force	95	3.14602e-05	-1.42628e-05	-1.20316e-08	0.000308226	7.25508e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.18.850.jpk-force	96	3.14300e-05	-1.42628e-05	-1.23386e-08	0.000349386	7.26728e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.23.892.jpk-force	97	3.13997e-05	-1.42628e-05	-1.23687e-08	0.000345628	7.27211e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.28.933.jpk-force	98	3.13695e-05	-1.42628e-05	-1.36149e-08	0.000506174	7.27747e-06
WT_3_3um_Durchmesser-2016.10.26-14.15.33.975.jpk-force	99	3.13393e-05	-1.42628e-05	-1.20106e-08	0.000299113	7.26621e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.34.648.jpk-force	0	6.56505e-06	1.83770e-05	4.34341e-07	-0.0598166	7.42326e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.39.690.jpk-force	1	6.59654e-06	1.83770e-05	-1.42041e-08	0.000409134	7.44878e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.44.732.jpk-force	2	6.62802e-06	1.83770e-05	-1.66794e-08	0.000724626	7.46140e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.49.775.jpk-force	3	6.65951e-06	1.83770e-05	-1.44489e-08	0.000434761	7.45109e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.54.819.jpk-force	4	6.69099e-06	1.83770e-05	-1.67327e-08	0.000715394	7.48964e-06
WT_4_3um_Durchmesser-2016.10.26-14.19.59.865.jpk-force	5	6.72248e-06	1.83770e-05	-1.46256e-08	0.000452471	7.45664e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.04.905.jpk-force	6	6.75397e-06	1.83770e-05	-1.42341e-08	0.000392005	7.45347e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.09.948.jpk-force	7	6.78545e-06	1.83770e-05	-1.52752e-08	0.000531448	7.45059e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.14.992.jpk-force	8	6.81694e-06	1.83770e-05	-1.57335e-08	0.000580852	7.46162e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.20.035.jpk-force	9	6.84843e-06	1.83770e-05	-1.73630e-08	0.000793542	7.49659e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.25.078.jpk-force	10	6.84842e-06	1.84085e-05	-1.41973e-08	0.000379629	7.45472e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.30.107.jpk-force	11	6.81694e-06	1.84085e-05	-1.46585e-08	0.000444462	7.47010e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.35.144.jpk-force	12	6.78545e-06	1.84085e-05	-1.70659e-08	0.000745480	7.47975e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.40.183.jpk-force	13	6.75397e-06	1.84085e-05	-1.38033e-08	0.000323574	7.47943e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.45.224.jpk-force	14	6.72248e-06	1.84085e-05	-1.44090e-08	0.000400060	7.48803e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.50.264.jpk-force	15	6.69099e-06	1.84085e-05	-1.48716e-08	0.000455885	7.48870e-06
WT_4_3um_Durchmesser-2016.10.26-14.20.55.301.jpk-force	16	6.65951e-06	1.84085e-05	-1.52000e-08	0.000495393	7.50027e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.00.339.jpk-force	17	6.62802e-06	1.84085e-05	-1.31282e-08	0.000216400	7.49047e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.05.381.jpk-force	18	6.59654e-06	1.84085e-05	-1.48632e-08	0.000442361	7.49739e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.10.423.jpk-force	19	6.56505e-06	1.84085e-05	-1.30043e-08	0.000201316	7.49018e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.15.469.jpk-force	20	6.56505e-06	1.84400e-05	-1.42491e-08	0.000348868	7.48814e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.20.514.jpk-force	21	6.59654e-06	1.84400e-05	-1.51593e-08	0.000467424	7.47547e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.25.559.jpk-force	22	6.62802e-06	1.84400e-05	-1.57940e-08	0.000551703	7.47642e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.30.605.jpk-force	23	6.65951e-06	1.84400e-05	-1.48704e-08	0.000427807	7.47021e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.35.651.jpk-force	24	6.69099e-06	1.84400e-05	-1.37230e-08	0.000274160	7.46567e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.40.695.jpk-force	25	6.72248e-06	1.84400e-05	-1.41114e-08	0.000316781	7.46110e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.45.738.jpk-force	26	6.75397e-06	1.84400e-05	-1.58328e-08	0.000544379	7.46491e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.50.781.jpk-force	27	6.78545e-06	1.84400e-05	-1.51390e-08	0.000454604	7.46403e-06
WT_4_3um_Durchmesser-2016.10.26-14.21.55.827.jpk-force	28	6.81694e-06	1.84400e-05	-1.54692e-08	0.000492334	7.46157e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.00.870.jpk-force	29	6.84843e-06	1.84400e-05	-1.46817e-08	0.000392020	7.46151e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.05.915.jpk-force	30	6.84842e-06	1.84714e-05	-1.40208e-08	0.000305535	7.45626e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.10.945.jpk-force	31	6.81694e-06	1.84714e-05	-1.56571e-08	0.000519815	7.48381e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.15.982.jpk-force	32	6.78545e-06	1.84714e-05	-1.67571e-08	0.000661226	7.48910e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.21.020.jpk-force	33	6.75397e-06	1.84714e-05	-1.61165e-08	0.000562860	7.48930e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.26.058.jpk-force	34	6.72248e-06	1.84714e-05	-1.64742e-08	0.000605556	7.50066e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.31.099.jpk-force	35	6.69099e-06	1.84714e-05	-1.51998e-08	0.000435103	7.49796e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.36.142.jpk-force	36	6.65951e-06	1.84714e-05	-1.45874e-08	0.000364868	7.50106e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.41.178.jpk-force	37	6.62802e-06	1.84714e-05	-1.26207e-08	0.000101364	7.49679e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.46.221.jpk-force	38	6.59654e-06	1.84714e-05	-1.67888e-08	0.000634975	7.50552e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.51.263.jpk-force	39	6.56505e-06	1.84714e-05	-1.50942e-08	0.000405574	7.51027e-06
WT_4_3um_Durchmesser-2016.10.26-14.22.56.308.jpk-force	40	6.56505e-06	1.85029e-05	-1.38119e-08	0.000248555	7.48533e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.01.356.jpk-force	41	6.59654e-06	1.85029e-05	-1.56836e-08	0.000490382	7.48313e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.06.403.jpk-force	42	6.62802e-06	1.85029e-05	-1.32888e-08	0.000178169	7.46457e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.11.447.jpk-force	43	6.65951e-06	1.85029e-05	-1.37264e-08	0.000242156	7.46486e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.16.491.jpk-force	44	6.69099e-06	1.85029e-05	-1.34188e-08	0.000195620	7.46374e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.21.534.jpk-force	45	6.72248e-06	1.85029e-05	-1.48374e-08	0.000381562	7.46897e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.26.579.jpk-force	46	6.75397e-06	1.85029e-05	-1.49699e-08	0.000385590	7.46524e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.31.623.jpk-force	47	6.78545e-06	1.85029e-05	-1.50728e-08	0.000399374	7.47030e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.36.667.jpk-force	48	6.81694e-06	1.85029e-05	-1.63681e-08	0.000555141	7.47685e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.41.712.jpk-force	49	6.84843e-06	1.85029e-05	-1.69338e-08	0.000629772	7.46483e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.46.756.jpk-force	50	6.84842e-06	1.85344e-05	-1.58298e-08	0.000488893	7.46296e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.51.786.jpk-force	51	6.81694e-06	1.85344e-05	-1.67905e-08	0.000604156	7.50563e-06
WT_4_3um_Durchmesser-2016.10.26-14.23.56.823.jpk-force	52	6.78545e-06	1.85344e-05	-1.58999e-08	0.000496432	7.49527e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.01.862.jpk-force	53	6.75397e-06	1.85344e-05	-1.44723e-08	0.000304293	7.49498e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.06.900.jpk-force	54	6.72248e-06	1.85344e-05	-1.43393e-08	0.000274796	7.49938e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.11.942.jpk-force	55	6.69099e-06	1.85344e-05	-1.58468e-08	0.000470968	7.50749e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.16.983.jpk-force	56	6.65951e-06	1.85344e-05	-1.56066e-08	0.000424069	7.50663e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.22.025.jpk-force	57	6.62802e-06	1.85344e-05	-1.65306e-08	0.000546840	7.51446e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.27.061.jpk-force	58	6.59654e-06	1.85344e-05	-1.31205e-08	0.000107019	7.50447e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.32.100.jpk-force	59	6.56505e-06	1.85344e-05	-1.33640e-08	0.000135404	7.50892e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.37.146.jpk-force	60	6.56505e-06	1.85659e-05	-1.33734e-08	0.000131261	7.50049e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.42.194.jpk-force	61	6.59654e-06	1.85659e-05	-1.64310e-08	0.000525526	7.49382e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.47.240.jpk-force	62	6.62802e-06	1.85659e-05	-1.51560e-08	0.000363703	7.48078e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.52.284.jpk-force	63	6.65951e-06	1.85659e-05	-1.50246e-08	0.000342484	7.47878e-06
WT_4_3um_Durchmesser-2016.10.26-14.24.57.325.jpk-force	64	6.69099e-06	1.85659e-05	-1.48402e-08	0.000308895	7.48642e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.02.371.jpk-force	65	6.72248e-06	1.85659e-05	-1.52099e-08	0.000357425	7.48412e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.07.413.jpk-force	66	6.75397e-06	1.85659e-05	-1.42356e-08	0.000220887	7.48242e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.12.457.jpk-force	67	6.78545e-06	1.85659e-05	-1.28955e-08	6.10433e-05	7.47804e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.17.502.jpk-force	68	6.81694e-06	1.85659e-05	-1.64465e-08	0.000505653	7.48760e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.22.547.jpk-force	69	6.84843e-06	1.85659e-05	-1.48599e-08	0.000297719	7.47995e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.27.590.jpk-force	70	6.84842e-06	1.85974e-05	-1.72423e-08	0.000602992	7.48518e-06
WT_4_3um_Durchmesser-2016.10.26-14.25.32.622.jpk-force	71	6.81694e-06	1.85974e-05	-1.56295e-08	0.000389182	7.50213e-06
