Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N]	Contact Point Offset [m]
WT_1_3um_Durchmesser-2016.10.26-13.25.42.678.jpk-force	69	-2.24434e-05	-5.96719e-06	-9.63645e-09	0.000182084	7.13448e-06
WT_1_3um_Durchmesser-2016.10.26-13.25.47.714.jpk-force	70	-2.24434e-05	-5.93696e-06	-9.60676e-09	0.000173971	7.13174e-06
WT_1_3um_Durchmesser-2016.10.26-13.25.52.757.jpk-force	71	-2.24737e-05	-5.93696e-06	-9.73318e-09	0.000187788	7.14317e-06
WT_1_3um_Durchmesser-2016.10.26-13.25.57.797.jpk-force	72	-2.25039e-05	-5.93696e-06	-9.60536e-09	0.000166793	7.13146e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.02.837.jpk-force	73	-2.25341e-05	-5.93696e-06	-9.76035e-09	0.000183949	7.13311e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.07.878.jpk-force	74	-2.25643e-05	-5.93696e-06	-9.75316e-09	0.000179477	7.12952e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.12.921.jpk-force	75	-2.25946e-05	-5.93696e-06	-9.82041e-09	0.000185333	7.11966e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.17.964.jpk-force	76	-2.26248e-05	-5.93696e-06	-9.91143e-09	0.000194420	7.12253e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.23.006.jpk-force	77	-2.26550e-05	-5.93696e-06	-9.77193e-09	0.000171380	7.12075e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.28.047.jpk-force	78	-2.26853e-05	-5.93696e-06	-9.91672e-09	0.000188100	7.12235e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.33.089.jpk-force	79	-2.27155e-05	-5.93696e-06	-9.99704e-09	0.000195572	7.10840e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.38.130.jpk-force	80	-2.27155e-05	-5.90673e-06	-1.01375e-08	0.000212005	7.10836e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.43.166.jpk-force	81	-2.26853e-05	-5.90673e-06	-1.01728e-08	0.000213290	7.10965e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.48.205.jpk-force	82	-2.26550e-05	-5.90673e-06	-1.01282e-08	0.000204239	7.12189e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.53.242.jpk-force	83	-2.26248e-05	-5.90673e-06	-1.01506e-08	0.000202985	7.12473e-06
WT_1_3um_Durchmesser-2016.10.26-13.26.58.281.jpk-force	84	-2.25946e-05	-5.90673e-06	-1.00802e-08	0.000189987	7.12437e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.03.323.jpk-force	85	-2.25643e-05	-5.90673e-06	-1.03160e-08	0.000218137	7.12545e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.08.358.jpk-force	86	-2.25341e-05	-5.90673e-06	-1.01809e-08	0.000196409	7.13126e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.13.399.jpk-force	87	-2.25039e-05	-5.90673e-06	-1.04149e-08	0.000225077	7.13004e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.18.439.jpk-force	88	-2.24737e-05	-5.90673e-06	-1.02674e-08	0.000201479	7.13150e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.23.480.jpk-force	89	-2.24434e-05	-5.90673e-06	-1.02744e-08	0.000198890	7.13065e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.28.523.jpk-force	90	-2.24434e-05	-5.87650e-06	-1.03086e-08	0.000200287	7.12664e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.33.560.jpk-force	91	-2.24737e-05	-5.87650e-06	-1.02176e-08	0.000183833	7.13299e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.38.602.jpk-force	92	-2.25039e-05	-5.87650e-06	-1.02578e-08	0.000185647	7.12347e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.43.642.jpk-force	93	-2.25341e-05	-5.87650e-06	-1.02467e-08	0.000180313	7.12468e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.48.685.jpk-force	94	-2.25643e-05	-5.87650e-06	-1.03981e-08	0.000197919	7.12030e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.53.726.jpk-force	95	-2.25946e-05	-5.87650e-06	-1.02299e-08	0.000171402	7.11843e-06
WT_1_3um_Durchmesser-2016.10.26-13.27.58.767.jpk-force	96	-2.26248e-05	-5.87650e-06	-1.04702e-08	0.000201653	7.11221e-06
WT_1_3um_Durchmesser-2016.10.26-13.28.03.810.jpk-force	97	-2.26550e-05	-5.87650e-06	-1.02992e-08	0.000174234	7.11575e-06
WT_1_3um_Durchmesser-2016.10.26-13.28.08.851.jpk-force	98	-2.26853e-05	-5.87650e-06	-1.04856e-08	0.000196157	7.11708e-06
WT_1_3um_Durchmesser-2016.10.26-13.28.13.892.jpk-force	99	-2.27155e-05	-5.87650e-06	-1.05351e-08	0.000198709	7.11164e-06
WT_2_3um_Durchmesser-2016.10.26-13.41.38.024.jpk-force	0	1.56319e-05	2.32708e-05	7.88695e-07	-0.0874404	9.01854e-06
WT_2_3um_Durchmesser-2016.10.26-13.41.43.053.jpk-force	1	1.56638e-05	2.32708e-05	-1.93365e-09	-1.10586e-05	9.06848e-06
WT_2_3um_Durchmesser-2016.10.26-13.41.48.089.jpk-force	2	1.56957e-05	2.32708e-05	-2.46647e-09	4.17729e-05	9.07822e-06
WT_2_3um_Durchmesser-2016.10.26-13.41.53.128.jpk-force	3	1.57276e-05	2.32708e-05	-2.11802e-09	-3.53367e-07	9.08017e-06
WT_2_3um_Durchmesser-2016.10.26-13.41.58.165.jpk-force	4	1.57594e-05	2.32708e-05	-2.81966e-09	7.19510e-05	9.08812e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.03.204.jpk-force	5	1.57913e-05	2.32708e-05	-2.34590e-09	1.81115e-05	9.09028e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.08.243.jpk-force	6	1.58232e-05	2.32708e-05	-2.22583e-09	3.33498e-06	9.09615e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.13.281.jpk-force	7	1.58551e-05	2.32708e-05	-1.96029e-09	-3.13746e-05	9.10268e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.18.322.jpk-force	8	1.58870e-05	2.32708e-05	-1.51449e-09	-8.31724e-05	9.10006e-06
WT_2_3um_Durchmesser-2016.10.26-13.42.23.364.jpk-force	9	1.59189e-05	2.32708e-05	-2.63448e-09	3.43454e-05	9.10464e-06
