tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.9995906e-08,1.0635612e-09,7.864802e-06,-3.2180587e-08,-3.3862275e-08,4.82022,2e-05
-3.0178743e-08,1.059113e-09,7.864818e-06,-3.2180587e-08,-3.4028943e-08,4.82026,6e-05
-3.00254e-08,1.0157131e-09,7.8648345e-06,-3.2180587e-08,-3.371783e-08,4.8203,0.0001
-3.0336498e-08,1.0310002e-09,7.86485e-06,-3.2179678e-08,-3.40845e-08,4.82034,0.00014
-2.9953654e-08,1.0385058e-09,7.864873e-06,-3.2179678e-08,-3.372894e-08,4.82038,0.00018
-2.972504e-08,1.0494331e-09,7.864882e-06,-3.2179678e-08,-3.354005e-08,4.82042,0.00022
-2.9742647e-08,1.0873804e-09,7.864894e-06,-3.2179678e-08,-3.3695606e-08,4.82046,0.00026
-2.9538189e-08,1.054985e-09,7.864901e-06,-3.2179678e-08,-3.3373382e-08,4.8205,0.0003
-2.9868993e-08,1.0587378e-09,7.864912e-06,-3.2179678e-08,-3.371783e-08,4.82054,0.00034
-3.034098e-08,1.0389363e-09,7.86494e-06,-3.2179678e-08,-3.4117836e-08,4.82058,0.00038
-2.9862687e-08,1.0665855e-09,7.864971e-06,-3.2179678e-08,-3.3740054e-08,4.82062,0.00042
-2.9887172e-08,1.0537378e-09,7.864991e-06,-3.2179678e-08,-3.371783e-08,4.82066,0.00046
-2.990102e-08,1.0101943e-09,7.865015e-06,-3.2179678e-08,-3.3573386e-08,4.8207,0.0005
-2.9706104e-08,1.0515854e-09,7.865035e-06,-3.2179678e-08,-3.3528938e-08,4.82074,0.00054
-2.9901106e-08,1.0407354e-09,7.865054e-06,-3.2180587e-08,-3.3684497e-08,4.82078,0.00058
-2.98083e-08,1.02653e-09,7.865081e-06,-3.2180587e-08,-3.354005e-08,4.82082,0.00062
-2.9817382e-08,1.0118058e-09,7.865102e-06,-3.2180587e-08,-3.3495606e-08,4.82086,0.00066
-2.9775986e-08,1.047645e-09,7.865126e-06,-3.2181497e-08,-3.3584495e-08,4.8209,0.0007
-2.9916066e-08,1.0060552e-09,7.865154e-06,-3.2181497e-08,-3.3573386e-08,4.82094,0.00074
-2.9635537e-08,1.0251503e-09,7.865177e-06,-3.2182406e-08,-3.336227e-08,4.82098,0.00078
-2.9980395e-08,1.0158676e-09,7.8652065e-06,-3.2182406e-08,-3.3673384e-08,4.82102,0.00082
-2.996944e-08,1.0219383e-09,7.865242e-06,-3.2183316e-08,-3.3684497e-08,4.82106,0.00086
-2.986593e-08,1.0015077e-09,7.865275e-06,-3.2183316e-08,-3.3506716e-08,4.8211,0.0009
-3.002428e-08,1.0129647e-09,7.865313e-06,-3.2184225e-08,-3.370672e-08,4.82114,0.00094
-2.9795311e-08,9.842559e-10,7.865347e-06,-3.2185135e-08,-3.3373382e-08,4.82118,0.00098
-3.002016e-08,9.682514e-10,7.865378e-06,-3.2186044e-08,-3.354005e-08,4.82122,0.00102
-2.9727255e-08,1.0060331e-09,7.865413e-06,-3.2186044e-08,-3.3384495e-08,4.82126,0.00106
-2.9542255e-08,1.0416404e-09,7.865445e-06,-3.2186954e-08,-3.3328938e-08,4.8213,0.0011
-3.0084593e-08,9.933178e-10,7.865482e-06,-3.2187863e-08,-3.3695606e-08,4.82134,0.00114
-2.992283e-08,1.019477e-09,7.865532e-06,-3.2188773e-08,-3.362894e-08,4.82138,0.00118
-2.9733728e-08,9.920263e-10,7.865572e-06,-3.2189682e-08,-3.3340047e-08,4.82142,0.00122
-2.9687712e-08,9.985717e-10,7.865607e-06,-3.219059e-08,-3.3317825e-08,4.82146,0.00126
-2.939229e-08,1.0278766e-09,7.865642e-06,-3.21915e-08,-3.3128934e-08,4.8215,0.0013
-2.9400553e-08,9.919822e-10,7.865669e-06,-3.219241e-08,-3.300671e-08,4.82154,0.00134
-2.9759178e-08,1.0125343e-09,7.865704e-06,-3.219423e-08,-3.344005e-08,4.82158,0.00138
-2.9494654e-08,1.0669609e-09,7.865749e-06,-3.219514e-08,-3.3373382e-08,4.82162,0.00142
-2.966319e-08,1.0114305e-09,7.865793e-06,-3.219605e-08,-3.3340047e-08,4.82166,0.00146
-2.9660312e-08,9.66375e-10,7.865837e-06,-3.2196958e-08,-3.317338e-08,4.8217,0.0015
-2.9591531e-08,9.914083e-10,7.865875e-06,-3.2198777e-08,-3.31956e-08,4.82174,0.00154
-2.967696e-08,9.648518e-10,7.865917e-06,-3.2199686e-08,-3.318449e-08,4.82178,0.00158
-2.9582752e-08,9.846532e-10,7.86596e-06,-3.2200596e-08,-3.316227e-08,4.82182,0.00162
-2.945221e-08,1.0358457e-09,7.866002e-06,-3.2202415e-08,-3.3217827e-08,4.82186,0.00166
-2.9633314e-08,9.676884e-10,7.866047e-06,-3.2203324e-08,-3.3151156e-08,4.8219,0.0017
-2.978857e-08,9.861102e-10,7.866098e-06,-3.2205143e-08,-3.3373382e-08,4.82194,0.00174
-2.9840894e-08,9.717172e-10,7.866153e-06,-3.2206962e-08,-3.3373382e-08,4.82198,0.00178
-2.9175691e-08,9.835385e-10,7.866199e-06,-3.2207872e-08,-3.2751153e-08,4.82202,0.00182
-2.9020661e-08,9.772801e-10,7.866227e-06,-3.220969e-08,-3.2573375e-08,4.82206,0.00186
-2.9151229e-08,9.780416e-10,7.866257e-06,-3.221151e-08,-3.270671e-08,4.8221,0.0019
-2.9196114e-08,9.779203e-10,7.866292e-06,-3.221242e-08,-3.2751153e-08,4.82214,0.00194
-2.9278684e-08,9.613197e-10,7.866328e-06,-3.221424e-08,-3.2773375e-08,4.82218,0.00198
-2.9442184e-08,9.621917e-10,7.866372e-06,-3.2216057e-08,-3.2940044e-08,4.82222,0.00202
-2.9496883e-08,9.746531e-10,7.866419e-06,-3.2217876e-08,-3.3040045e-08,4.82226,0.00206
-2.948316e-08,9.78428e-10,7.8664725e-06,-3.2219695e-08,-3.3040045e-08,4.8223,0.0021
-2.9268751e-08,9.4877e-10,7.866519e-06,-3.2221514e-08,-3.271782e-08,4.82234,0.00214
-2.9028133e-08,9.691122e-10,7.866557e-06,-3.2223333e-08,-3.2551153e-08,4.82238,0.00218
-2.9003804e-08,9.513528e-10,7.86659e-06,-3.2225152e-08,-3.246226e-08,4.82242,0.00222
-2.9272318e-08,9.875231e-10,7.866631e-06,-3.222697e-08,-3.2862268e-08,4.82246,0.00226
-2.9406452e-08,9.536817e-10,7.8666835e-06,-3.222879e-08,-3.2873377e-08,4.8225,0.0023
-2.9385431e-08,9.197299e-10,7.866733e-06,-3.223061e-08,-3.272893e-08,4.82254,0.00234
-2.9122866e-08,9.797304e-10,7.866781e-06,-3.223243e-08,-3.2684486e-08,4.82258,0.00238
-2.8790588e-08,9.672138e-10,7.866819e-06,-3.2234247e-08,-3.2306705e-08,4.82262,0.00242
-2.9078269e-08,9.736597e-10,7.866858e-06,-3.2236066e-08,-3.261782e-08,4.82266,0.00246
-2.8958747e-08,9.606905e-10,7.866902e-06,-3.2238795e-08,-3.245115e-08,4.8227,0.0025
-2.8650065e-08,9.72247e-10,7.866937e-06,-3.2240614e-08,-3.218448e-08,4.82274,0.00254
-2.9095546e-08,9.475116e-10,7.866973e-06,-3.2242433e-08,-3.254004e-08,4.82278,0.00258
-2.9253801e-08,9.375999e-10,7.867024e-06,-3.224516e-08,-3.2662264e-08,4.82282,0.00262
-2.886853e-08,1.0344109e-09,7.867077e-06,-3.224698e-08,-3.262893e-08,4.82286,0.00266
-2.8855986e-08,9.889579e-10,7.867126e-06,-3.22488e-08,-3.245115e-08,4.8229,0.0027
-2.8888547e-08,9.2804125e-10,7.8671665e-06,-3.2251528e-08,-3.226226e-08,4.82294,0.00274
-2.885445e-08,9.28251e-10,7.867207e-06,-3.2253347e-08,-3.2228925e-08,4.82298,0.00278
-2.8439539e-08,9.506904e-10,7.867241e-06,-3.2256075e-08,-3.189559e-08,4.82302,0.00282
-2.8300565e-08,9.705803e-10,7.867263e-06,-3.2258804e-08,-3.182892e-08,4.82306,0.00286
-2.9100844e-08,9.0937663e-10,7.867298e-06,-3.2260623e-08,-3.2406707e-08,4.8231,0.0029
-2.9059285e-08,9.116394e-10,7.86735e-06,-3.226335e-08,-3.237337e-08,4.82314,0.00294
-2.8661095e-08,9.386484e-10,7.867393e-06,-3.226517e-08,-3.207337e-08,4.82318,0.00298
-2.8312941e-08,9.518936e-10,7.867425e-06,-3.22679e-08,-3.1773368e-08,4.82322,0.00302
-2.8545005e-08,9.0639646e-10,7.867449e-06,-3.2270627e-08,-3.1840035e-08,4.82326,0.00306
-2.8846193e-08,9.580304e-10,7.867489e-06,-3.2273356e-08,-3.2328927e-08,4.8233,0.0031
-2.8899908e-08,9.1880276e-10,7.86754e-06,-3.2275175e-08,-3.2240038e-08,4.82334,0.00314
-2.8789039e-08,9.523572e-10,7.8675885e-06,-3.2277903e-08,-3.2251148e-08,4.82338,0.00318
-2.8484585e-08,9.505249e-10,7.867632e-06,-3.228063e-08,-3.1940036e-08,4.82342,0.00322
-2.8601985e-08,9.2434366e-10,7.867666e-06,-3.228336e-08,-3.196226e-08,4.82346,0.00326
-2.8835316e-08,9.274011e-10,7.867711e-06,-3.228609e-08,-3.2206703e-08,4.8235,0.0033
-2.8846234e-08,9.2134145e-10,7.867762e-06,-3.2288817e-08,-3.2195594e-08,4.82354,0.00334
-2.8471883e-08,9.387368e-10,7.867806e-06,-3.2291545e-08,-3.188448e-08,4.82358,0.00338
-2.8757613e-08,8.9681584e-10,7.867845e-06,-3.2294274e-08,-3.2017812e-08,4.82362,0.00342
